"stacknumber","latitude","longitude"
1,44.4774011111111,-73.8364055555556
2,41.0168207141162,-74.9996464472123
3,39.9397718362676,-75.8216740352113
4,35.9223117148148,-78.1871067333333
5,44.1640915254237,-84.0692779661017
6,41.2379253722334,-81.8129311690141
7,39.2993238856729,-80.6327088639653
8,35.4390593548387,-81.1541641986418
9,44.733446056338,-88.2628525352113
10,42.4104014769737,-86.0265689901316
11,40.0089342222222,-86.5737154309309
12,36.0790740608108,-84.1490861976351
13,47.9132035555556,-92.331498
14,45.59580609375,-90.7677748958333
15,42.4550377767221,-89.6057942422803
16,39.5089574545455,-89.0918007867133
17,36.223356626506,-89.8513337060241
18,46.4013513333333,-95.0856803333333
19,44.7851325842697,-93.3106814606742
20,42.092111962406,-94.6932087669173
21,39.5035645985916,-94.1353356971831
22,34.3897270200669,-95.5673502508361
23,44.2866033076923,-101.879122
24,43.8610575882353,-97.425149764706
25,41.2471952631579,-102.005750263158
26,38.9094205233645,-101.172900317757
27,35.3106141857143,-99.18727865
28,47.36665,-111.44665
29,44.2993662,-105.89477615
30,41.8294492105263,-105.857466052632
31,38.9189497047619,-105.9895224
32,35.3676927894737,-107.382480666667
33,38.5356994285714,-84.706985142857
34,41.9049431372549,-110.326283529412
35,38.8037891747573,-110.630327495146
36,35.4277094859813,-111.270278373832
